Grass,Prey,Predator
2732033,106,980
2743776,108,974
2755597,108,967
2767191,109,957
2778707,108,947
2790067,108,939
2801562,109,928
2813077,108,924
2824138,107,918
2835278,105,908
2846758,100,902
2858017,99,895
2869519,99,888
2880780,97,884
2891843,93,881
2903344,91,872
2914844,91,860
2926673,92,849
2937874,94,841
2949249,93,832
2960416,93,820
2971212,93,815
2982472,90,813
2993940,89,806
3005091,89,803
3016435,89,795
3027842,90,791
3038841,90,782
3049453,87,776
3060184,84,773
3070782,83,769
3081465,83,763
3091971,85,755
3102342,86,747
3112844,83,742
3123612,83,730
3133924,83,718
3144485,87,711
3154218,87,704
3164170,86,696
3174472,85,689
3184230,84,686
3194443,84,682
3204121,86,676
3214011,88,668
3223941,89,663
3233410,90,655
3242746,92,645
3252709,90,639
3262788,91,630
3272365,91,624
3281532,92,620
3291442,91,613
3300940,93,609
3309634,93,607
3318614,92,598
3327278,93,596
3336329,91,591
3346081,93,585
3355088,92,579
3364250,90,577
3373532,91,576
3383005,94,573
3392537,94,566
3401384,93,562
3410768,92,562
3419948,93,553
3429449,93,545
3438971,93,535
3448320,94,529
3457648,91,529
3466789,93,520
3475693,95,513
3484651,95,509
3493623,96,506
3502227,94,503
3511355,94,499
3519942,96,494
3528899,94,492
3537313,90,491
3546457,89,486
3555107,91,481
3563879,90,475
3572601,91,470
3581067,88,468
3589865,87,461
3598977,87,456
3607718,88,457
3616353,89,453
3624991,88,446
3633282,89,442
3641786,91,435
3650351,93,431
3658201,92,426
3666416,94,423
3674406,97,417
3681770,99,412
3689365,98,411
3696840,100,409
3704473,97,410
3711746,99,405
3718888,95,404
3726088,94,406
3733107,96,402
3739287,96,401
3746082,96,400
3751883,98,400
3757730,99,399
3763248,100,396
3768376,103,393
3773152,107,387
3777115,105,382
3781476,106,378
3785526,106,375
3789591,108,376
3793395,111,373
3797102,112,372
3800379,112,371
3803769,111,370
3807277,112,371
3810016,114,370
3811913,122,369
3813567,122,368
3814469,123,363
3815018,129,361
3815389,131,359
3816195,134,356
3816602,134,355
3816962,135,353
3817063,141,351
3816915,147,346
3816033,151,345
3814868,152,345
3812988,157,345
3811371,158,345
3810472,162,341
3809005,166,337
3807376,168,335
3805089,172,332
3803211,174,334
3801086,170,334
3799692,171,336
3797877,177,333
3795718,184,329
3793015,184,327
3791001,186,323
3789277,188,321
3787202,197,320
3784603,198,319
3782077,204,314
3779721,207,309
3775892,213,304
3771909,212,300
3767974,223,296
3763293,227,295
3758438,227,292
3753634,233,291
3747379,238,286
3741232,241,283
3735173,252,283
3728172,252,284
3721987,252,285
3716245,257,285
3710416,262,285
3704159,269,281
3698590,271,283
3692365,272,279
3686262,278,280
3679456,280,282
3672929,286,280
3666581,294,278
3660090,297,276
3653998,307,275
3646328,314,273
3639135,320,274
3630138,325,274
3621140,331,271
3612118,342,273
3603778,347,275
3594184,350,274
3585601,353,273
3576598,357,272
3566515,358,272
3557068,370,273
3546209,374,278
3534928,382,276
3524443,387,277
3512858,392,278
3500755,397,279
3488295,402,280
3476469,413,280
3464373,416,280
3453311,424,281
3441417,426,280
3429190,428,279
3416250,432,281
3403434,443,280
3389028,455,280
3373832,466,278
3358723,473,278
3343803,481,281
3328337,483,282
3313329,490,282
3296351,490,283
3280135,502,284
3262968,513,284
3244512,518,284
3225870,524,285
3207874,533,285
3189737,538,287
3172623,548,288
3155399,556,289
3140095,563,286
3124762,561,290
3110080,563,293
3096150,575,292
3082455,583,293
3068314,593,294
3054144,597,293
3040422,605,293
3027211,610,295
3014976,614,295
3003293,619,293
2991356,624,296
2979963,628,297
2969531,631,297
2959478,642,297
2949494,651,295
2938854,654,295
2928657,661,295
2918981,662,299
2909376,667,301
2900021,670,301
2892008,669,307
2883562,667,309
2875273,677,311
2866759,680,313
2858757,686,314
2851548,688,314
2844103,696,312
2836465,704,312
2829627,707,313
2822703,710,315
2814480,712,312
2806620,718,309
2799335,717,312
2791195,726,315
2782989,717,317
2775621,717,322
2767235,718,320
2760246,723,321
2752181,727,321
2743367,728,325
2733529,737,325
2724354,742,329
2714537,742,331
2705308,744,335
2695968,745,339
2688141,748,341
2679726,749,344
2672123,749,345
2664401,752,345
2657823,751,349
2651031,754,354
2644040,758,353
2636121,764,353
2628208,761,358
2619957,760,361
2612444,764,364
2603197,770,364
2594381,771,367
2585717,777,367
2577710,778,368
2570973,781,368
2564575,783,370
2559093,784,371
2553382,786,375
2547046,791,375
2539833,793,375
2532795,798,377
2525731,798,381
2520451,800,382
2516074,794,386
2512278,792,386
2508363,797,386
2504195,799,387
2502303,798,389
2500052,794,393
2497839,794,397
2495686,792,400
2494187,792,401
2491431,793,404
2489005,792,409
2487231,795,409
2485837,796,409
2484797,797,410
2483954,803,411
2483119,806,410
2482371,808,411
2480317,809,414
2479372,805,416
2479031,806,418
2477806,806,420
2476781,805,419
2476288,804,421
2474751,806,423
2474230,803,429
2473010,803,428
2471507,800,431
2469654,803,435
2467907,803,441
2465784,799,443
2462804,800,446
2460875,797,450
2458045,794,460
2455950,796,462
2453730,798,463
2452061,801,462
2450257,800,465
2448450,800,467
2446748,803,466
2444913,808,467
2441787,807,469
2439605,807,470
2438032,807,476
2435479,809,477
2433452,808,480
2431686,810,484
2429752,809,489
2427414,808,492
2424093,807,495
2421614,806,495
2419164,804,498
2417091,805,499
2414347,797,505
2412310,797,511
2410854,800,513
2408884,798,515
2406725,801,517
